TIME_STAMPING,PACKET_COUNT,GNSS_SPEED,GNSS_LATITUDE,GNSS_LONGITUDE,GNSS_ALTITUDE,GNSS_SATS,VOLTAGE,VIBRATION,EULERX,EULERY,EULERZ ,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,BNO_TEMPERATURE,MAGNETOMETER_X,MAGNETOMETER_Y,MAGNETOMETER_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,ALTITUDE,TEMPERATURE,PRESSURE,CM_ECHO,Unnamed: 32
1702453096.290553,73,0.0,0.0,0.0,0.0,0,16.39,0,95.56,10.88,4.75,95.56,10.88,4.75,-4.69,5.69,7.94,25.0,35.06,9.38,-49.5,1.97,-1.29,9.89,95.56,10.88,4.75,222.32,26.8,986.83,time,
1702453096.564572,74,0.0,0.0,0.0,0.0,0,16.39,0,98.38,10.62,3.19,98.38,10.62,3.19,-0.44,4.56,-13.75,25.0,35.88,9.0,-49.06,1.62,-0.45,9.44,98.38,10.62,3.19,222.32,26.8,986.83,time,
1702453096.8345022,75,0.0,0.0,0.0,0.0,0,16.39,0,100.75,11.06,4.06,100.75,11.06,4.06,3.38,-3.88,-0.12,25.0,36.19,13.06,-50.0,1.71,-0.53,9.63,100.75,11.06,4.06,222.24,26.8,986.84,time,
1702453097.1213453,76,0.0,0.0,0.0,0.0,0,16.39,0,104.88,11.69,1.69,104.88,11.69,1.69,3.81,2.19,-9.25,25.0,34.06,14.5,-49.56,1.76,-0.39,9.66,104.88,11.69,1.69,222.34,26.8,986.83,time,
1702453097.372367,77,0.0,0.0,0.0,0.0,0,16.39,0,105.25,11.19,2.19,105.25,11.19,2.19,-0.62,-10.06,1.94,25.0,34.19,15.56,-49.19,1.76,-0.07,9.27,105.25,11.19,2.19,222.46,26.8,986.81,time,
1702453097.6383922,78,0.0,0.0,0.0,0.0,0,16.39,0,104.25,9.81,2.81,104.25,9.81,2.81,-8.19,-0.81,-3.31,25.0,35.19,15.25,-48.75,1.59,-0.43,9.29,104.25,9.81,2.81,222.3,26.8,986.83,time,
1702453097.8967235,79,0.0,0.0,0.0,0.0,0,16.39,0,103.19,7.69,3.75,103.19,7.69,3.75,-2.06,11.38,17.94,25.0,37.5,16.38,-47.19,1.39,-0.4,9.82,103.19,7.69,3.75,222.28,26.81,986.84,time,
1702453098.171898,80,0.0,0.0,0.0,0.0,0,16.39,0,101.12,7.69,3.56,101.12,7.69,3.56,9.44,-14.69,6.06,25.0,38.5,14.88,-45.38,1.23,-0.58,9.02,101.12,7.69,3.56,222.31,26.81,986.83,time,
1702453098.450183,81,0.0,0.0,0.0,0.0,0,16.39,0,101.19,6.94,2.38,101.19,6.94,2.38,-2.44,12.19,-1.5,25.0,36.69,13.06,-47.38,1.68,-0.31,9.99,101.19,6.94,2.38,222.43,26.81,986.82,time,
1702453098.707914,82,0.0,0.0,0.0,0.0,0,16.39,1,103.0,8.12,1.75,103.0,8.12,1.75,-10.0,-11.0,-24.06,25.0,38.19,13.75,-46.75,1.06,-0.49,9.2,103.0,8.12,1.75,222.42,26.81,986.82,time,
1702453098.9784458,83,0.0,0.0,0.0,0.0,0,16.39,0,105.94,7.88,3.06,105.94,7.88,3.06,-5.62,1.75,-3.94,25.0,35.69,20.0,-46.25,1.72,-0.24,9.88,105.94,7.88,3.06,222.27,26.81,986.84,time,
1702453099.2464838,84,0.0,0.0,0.0,0.0,0,16.39,0,108.62,10.12,1.81,108.62,10.12,1.81,2.5,-4.12,-7.88,25.0,34.25,20.38,-47.25,1.2,-0.53,9.36,108.62,10.12,1.81,222.44,26.82,986.82,time,
1702453099.513626,85,0.0,0.0,0.0,0.0,0,16.39,0,108.38,10.88,3.94,108.38,10.88,3.94,-8.19,5.06,-0.75,25.0,33.06,20.75,-47.56,1.75,-1.0,9.4,108.38,10.88,3.94,222.45,26.82,986.82,time,
1702453099.7795937,86,0.0,0.0,0.0,0.0,0,16.39,0,107.38,9.5,3.69,107.38,9.5,3.69,13.25,-19.19,47.19,25.0,34.88,21.5,-48.0,1.69,-1.37,9.53,107.38,9.5,3.69,222.21,26.82,986.84,time,
